sample_id,location,depth,water_level
Shos_1,Port,0,waterline
Shos_10,Port,3,below_water
Shos_11,Starboard,3,below_water
Shos_12,Submerged,30,below_water
Shos_13,Starboard,0,water_sample
Shos_14,Rudder post,0,water_sample
Shos_15,Sediment,60,below_water
Shos_16,Submerged,30,below_water
Shos_17,Port,0,waterline
Shos_18,Port,0,waterline
Shos_19,Starboard,0,waterline
Shos_2,Port,0,waterline
Shos_20,Submerged,30,below_water
Shos_21,Starboard,0,water_sample
Shos_22,Rudder post,0,water_sample
Shos_23,Sediment,60,below_water
Shos_25,Port,3,below_water
Shos_26,Port,3,below_water
Shos_28,Bulkhead,0,waterline
Shos_29,Starboard,0,water_sample
Shos_30,Rudder post,0,water_sample
Shos_31,Sediment,60,below_water
Shos_32,Starboard,3,below_water
Shos_33,Port,0,waterline
Shos_34,Port,0,waterline
Shos_35,Starboard,0,waterline
Shos_36,Bulkhead,3,below_water
Shos_37,Starboard,0,water_sample
Shos_38,Rudder post,0,water_sample
Shos_39,Sediment,60,below_water
Shos_4,Submerged,30,below_water
Shos_40,Starboard,0,waterline
Shos_41,Port,3,below_water
Shos_42,Port,3,below_water
Shos_43,Starboard,3,below_water
Shos_44,Bulkhead,0.5,waterline
Shos_45,Port,0,water_sample
Shos_46,Rudder post,0,water_sample
Shos_47,Sediment,60,below_water
Shos_48,Sediment,60,below_water
Shos_49,Port,0,waterline
Shos_5,Starboard,0,water_sample
Shos_50,Starboard,0,waterline
Shos_51,Starboard,0,waterline
Shos_52,Rudder post,0,waterline
Shos_53,Port,0,water_sample
Shos_54,Rudder post,0,water_sample
Shos_55,Sediment,60,below_water
Shos_56,Starboard,0,waterline
Shos_57,Port,3,below_water
Shos_58,Starboard,3,below_water
Shos_59,Starboard,3,below_water
Shos_6,Port,0,water_sample
Shos_60,Rudder post,0.5,below_water
Shos_61,Port,0,water_sample
Shos_62,Rudder post,0,water_sample
Shos_63,Sediment,60,below_water
Shos_64,Port,0.5,below_water
Shos_65,Port,0,waterline
Shos_66,Starboard,0,waterline
Shos_67,Starboard,0,waterline
Shos_68,Starboard,0,water_sample
Shos_69,Port,NA,water_sample
Shos_7,Sediment,60,below_water
Shos_70,Rudder post,0,water_sample
Shos_71,Sediment,60,below_water
Shos_73,Port,3,below_water
Shos_74,Starboard,3,below_water
Shos_75,Starboard,3,below_water
Shos_76,Starboard,0,water_sample
Shos_77,Port,0,water_sample
Shos_78,Rudder post,0,water_sample
Shos_79,Sediment,60,below_water
Shos_80,Port,0,waterline
Shos_81,Port,0,waterline
Shos_82,Starboard,0,waterline
Shos_84,Starboard,0,water_sample
Shos_85,Port,0,water_sample
Shos_86,Sediment,60,below_water
Shos_87,Sediment,60,below_water
Shos_88,Port,3,below_water
Shos_89,Port,3,below_water
Shos_9,Port,3,below_water
Shos_90,Starboard,3,below_water
Shos_91,Starboard,3,below_water
Shos_92,Starboard,0,water_sample
Shos_93,Port,0,water_sample
Shos_94,Sediment,60,below_water
Shos_95,Sediment,60,below_water
