sample_id,location,depth(ft),water_level
Shos_1,Port_biofilm,0,waterline
Shos_10,Port_biofilm,0.5,belowwater
Shos_11,Starboard_biofilm,0.5,belowwater
Shos_12,Aft_Star_biofilm,3,belowwater
Shos_13,water_samples,NA,watersample
Shos_14,water_samples,NA,watersample
Shos_15,Sediment_biofilm,5,belowwater
Shos_16,Aft_Star_biofilm,3,belowwater
Shos_17,Port_biofilm,0,waterline
Shos_18,Port_biofilm,0,waterline
Shos_19,Starboard_biofilm,0,waterline
Shos_2,Port_biofilm,0,waterline
Shos_20,Aft_Star_biofilm,3,belowwater
Shos_21,water_samples,NA,watersample
Shos_22,water_samples,NA,watersample
Shos_23,Sediment_biofilm,5,belowwater
Shos_25,Port_biofilm,0.5,belowwater
Shos_26,Port_biofilm,0.5,belowwater
Shos_28,Bulkhead_biofilm,0,waterline
Shos_29,water_samples,NA,watersample
Shos_30,water_samples,NA,watersample
Shos_31,Sediment_biofilm,5,belowwater
Shos_32,Starboard_biofilm,0.5,belowwater
Shos_33,Port_biofilm,0,waterline
Shos_34,Port_biofilm,0,waterline
Shos_35,Starboard_biofilm,0,waterline
Shos_36,Bulkhead_biofilm,0.5,belowwater
Shos_37,water_samples,NA,watersample
Shos_38,water_samples,NA,watersample
Shos_39,Sediment_biofilm,5,belowwater
Shos_4,Aft_Star_biofilm,3,belowwater
Shos_40,Starboard_biofilm,0,waterline
Shos_41,Port_biofilm,0.5,belowwater
Shos_42,Port_biofilm,0.5,belowwater
Shos_43,Starboard_biofilm,0.5,belowwater
Shos_44,Bulkhead_biofilm,0,waterline
Shos_45,water_samples,NA,watersample
Shos_46,water_samples,NA,watersample
Shos_47,Sediment_biofilm,5,belowwater
Shos_48,Sediment_biofilm,5,belowwater
Shos_49,Port_biofilm,0,waterline
Shos_5,water_samples,NA,watersample
Shos_50,Starboard_biofilm,0,waterline
Shos_51,Starboard_biofilm,0,waterline
Shos_52,Rudder post_biofilm,0,waterline
Shos_53,water_samples,NA,watersample
Shos_54,water_samples,NA,watersample
Shos_55,Sediment_biofilm,5,belowwater
Shos_56,Starboard_biofilm,0,waterline
Shos_57,Port_biofilm,0.5,belowwater
Shos_58,Starboard_biofilm,0.5,belowwater
Shos_59,Starboard_biofilm,0.5,belowwater
Shos_6,water_samples,NA,watersample
Shos_60,Rudder post_biofilm,0.5,belowwater
Shos_61,water_samples,NA,watersample
Shos_62,water_samples,NA,watersample
Shos_63,Sediment_biofilm,5,belowwater
Shos_64,Port_biofilm,0.5,belowwater
Shos_65,Port_biofilm,0,waterline
Shos_66,Starboard_biofilm,0,waterline
Shos_67,Starboard_biofilm,0,waterline
Shos_68,water_samples,NA,watersample
Shos_69,water_samples,NA,watersample
Shos_7,Sediment_biofilm,5,belowwater
Shos_70,water_samples,NA,watersample
Shos_71,Sediment_biofilm,5,belowwater
Shos_73,Port_biofilm,0.5,belowwater
Shos_74,Starboard_biofilm,0.5,belowwater
Shos_75,Starboard_biofilm,0.5,belowwater
Shos_76,water_samples,NA,watersample
Shos_77,water_samples,NA,watersample
Shos_78,water_samples,NA,watersample
Shos_79,Sediment_biofilm,5,belowwater
Shos_80,Port_biofilm,0,waterline
Shos_81,Port_biofilm,0,waterline
Shos_82,Starboard_biofilm,0,waterline
Shos_84,water_samples,NA,watersample
Shos_85,water_samples,NA,watersample
Shos_86,Sediment_biofilm,5,belowwater
Shos_87,Sediment_biofilm,5,belowwater
Shos_88,Port_biofilm,0.5,belowwater
Shos_89,Port_biofilm,0.5,belowwater
Shos_9,Port_biofilm,0.5,belowwater
Shos_90,Starboard_biofilm,0.5,belowwater
Shos_91,Starboard_biofilm,0.5,belowwater
Shos_92,water_samples,NA,watersample
Shos_93,water_samples,NA,watersample
Shos_94,Sediment_biofilm,5,belowwater
Shos_95,Sediment_biofilm,5,belowwater
