sample_id,location,depth,water_level
Shos_13,Starboard_water,0,watersample
Shos_14,Rudder post_water,0,watersample
Shos_21,Starboard_water,0,watersample
Shos_22,Rudder post_water,0,watersample
Shos_29,Starboard_water,0,watersample
Shos_30,Rudder post_water,0,watersample
Shos_37,Starboard_water,0,watersample
Shos_38,Rudder post_water,0,watersample
Shos_45,Port_water,0,watersample
Shos_46,Rudder post_water,0,watersample
Shos_5,Starboard_water,0,watersample
Shos_53,Port_water,0,watersample
Shos_54,Rudder post_water,0,watersample
Shos_6,Port_water,0,watersample
Shos_61,Port_water,0,watersample
Shos_62,Rudder post_water,0,watersample
Shos_68,Starboard_water,0,watersample
Shos_69,Port_water,0,watersample
Shos_70,Rudder post_water,0,watersample
Shos_76,Starboard_water,0,watersample
Shos_77,Port_water,0,watersample
Shos_78,Rudder post_water,0,watersample
Shos_84,Starboard_water,0,watersample
Shos_85,Port_water,0,watersample
Shos_92,Starboard_water,0,watersample
Shos_93,Port_water,0,watersample
